periodo;ars;indicador;valor;unidade;id
2026-09-17;ARS Centro;Número estimado de episódios de urgência;2860.0;episódio urgência;2026-09-17/ARS Centro/Número estimado de episódios de urgência
2026-09-17;ARS Lisboa e Vale do Tejo;Taxa diária de atendimentos urgentes com prioridade verde ou azul;39.8457;epis. urg./100.000 resid.;2026-09-17/ARS Lisboa e Vale do Tejo/Taxa diária de episódios de urgência não urgentes (Manchester) por 100.000 residentes
2026-09-16;ARS Norte;Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar);53.2462;minuto;2026-09-16/ARS Norte/Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar)
2026-09-16;ARS Norte;Taxa diária de atendimentos urgentes com prioridade verde ou azul;29.8812;epis. urg./100.000 resid.;2026-09-16/ARS Norte/Taxa diária de episódios de urgência não urgentes (Manchester) por 100.000 residentes
2026-09-16;ARS Norte;Taxa diária de atendimentos urgentes com internamento;7.9924;%;2026-09-16/ARS Norte/Taxa diária de episódios de urgência com internamento (%)
2026-09-16;ARS Lisboa e Vale do Tejo;Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar);117.139;minuto;2026-09-16/ARS Lisboa e Vale do Tejo/Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar)
2026-09-16;ARS Algarve;Número estimado de episódios de urgência;1033.0;episódio urgência;2026-09-16/ARS Algarve/Número estimado de episódios de urgência
2026-09-16;Portugal Continental;Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar);73.2532;minuto;2026-09-16/Portugal Continental/Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar)
2026-09-16;ARS Centro;Taxa diária de atendimentos urgentes com prioridade verde ou azul;29.704;epis. urg./100.000 resid.;2026-09-16/ARS Centro/Taxa diária de episódios de urgência não urgentes (Manchester) por 100.000 residentes
2026-09-16;ARS Centro;Taxa diária de atendimentos urgentes com internamento;11.7735;%;2026-09-16/ARS Centro/Taxa diária de episódios de urgência com internamento (%)
2026-09-16;ARS Alentejo;Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar);47.1313;minuto;2026-09-16/ARS Alentejo/Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar)
2026-09-16;ARS Alentejo;Taxa diária de atendimentos urgentes com prioridade verde ou azul;44.4169;epis. urg./100.000 resid.;2026-09-16/ARS Alentejo/Taxa diária de episódios de urgência não urgentes (Manchester) por 100.000 residentes
2026-09-16;ARS Alentejo;Número estimado de episódios de urgência;1098.0;episódio urgência;2026-09-16/ARS Alentejo/Número estimado de episódios de urgência
2026-09-16;Portugal Continental;Taxa diária de atendimentos urgentes com prioridade verde ou azul;32.9987;epis. urg./100.000 resid.;2026-09-16/Portugal Continental/Taxa diária de episódios de urgência não urgentes (Manchester) por 100.000 residentes
2026-09-16;Portugal Continental;Taxa diária de atendimentos urgentes com internamento;9.08469;%;2026-09-16/Portugal Continental/Taxa diária de episódios de urgência com internamento (%)
2026-09-16;Portugal Continental;Número estimado de episódios de urgência;16461.0;episódio urgência;2026-09-16/Portugal Continental/Número estimado de episódios de urgência
2026-09-16;ARS Centro;Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar);63.3515;minuto;2026-09-16/ARS Centro/Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar)
2026-09-16;ARS Lisboa e Vale do Tejo;Taxa diária de atendimentos urgentes com internamento;9.03733;%;2026-09-16/ARS Lisboa e Vale do Tejo/Taxa diária de episódios de urgência com internamento (%)
2026-09-16;ARS Lisboa e Vale do Tejo;Número estimado de episódios de urgência;5233.0;episódio urgência;2026-09-16/ARS Lisboa e Vale do Tejo/Número estimado de episódios de urgência
2026-09-16;ARS Norte;Número estimado de episódios de urgência;6228.0;episódio urgência;2026-09-16/ARS Norte/Número estimado de episódios de urgência
2026-09-16;ARS Alentejo;Taxa diária de atendimentos urgentes com internamento;7.93388;%;2026-09-16/ARS Alentejo/Taxa diária de episódios de urgência com internamento (%)
2026-09-16;ARS Centro;Número estimado de episódios de urgência;2869.0;episódio urgência;2026-09-16/ARS Centro/Número estimado de episódios de urgência
2026-09-16;ARS Lisboa e Vale do Tejo;Taxa diária de atendimentos urgentes com prioridade verde ou azul;37.4714;epis. urg./100.000 resid.;2026-09-16/ARS Lisboa e Vale do Tejo/Taxa diária de episódios de urgência não urgentes (Manchester) por 100.000 residentes
2026-09-15;ARS Norte;Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar);64.0165;minuto;2026-09-15/ARS Norte/Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar)
2026-09-15;ARS Norte;Taxa diária de atendimentos urgentes com prioridade verde ou azul;30.3449;epis. urg./100.000 resid.;2026-09-15/ARS Norte/Taxa diária de episódios de urgência não urgentes (Manchester) por 100.000 residentes
2026-09-15;ARS Norte;Número estimado de episódios de urgência;6444.0;episódio urgência;2026-09-15/ARS Norte/Número estimado de episódios de urgência
2026-09-15;ARS Lisboa e Vale do Tejo;Número estimado de episódios de urgência;5346.0;episódio urgência;2026-09-15/ARS Lisboa e Vale do Tejo/Número estimado de episódios de urgência
2026-09-15;ARS Alentejo;Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar);47.6781;minuto;2026-09-15/ARS Alentejo/Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar)
2026-09-15;ARS Alentejo;Número estimado de episódios de urgência;1104.0;episódio urgência;2026-09-15/ARS Alentejo/Número estimado de episódios de urgência
2026-09-15;Portugal Continental;Taxa diária de atendimentos urgentes com prioridade verde ou azul;33.4351;epis. urg./100.000 resid.;2026-09-15/Portugal Continental/Taxa diária de episódios de urgência não urgentes (Manchester) por 100.000 residentes
2026-09-15;Portugal Continental;Taxa diária de atendimentos urgentes com internamento;8.70774;%;2026-09-15/Portugal Continental/Taxa diária de episódios de urgência com internamento (%)
2026-09-15;ARS Norte;Taxa diária de atendimentos urgentes com internamento;8.06481;%;2026-09-15/ARS Norte/Taxa diária de episódios de urgência com internamento (%)
2026-09-15;ARS Centro;Taxa diária de atendimentos urgentes com internamento;10.1657;%;2026-09-15/ARS Centro/Taxa diária de episódios de urgência com internamento (%)
2026-09-15;ARS Centro;Número estimado de episódios de urgência;3062.0;episódio urgência;2026-09-15/ARS Centro/Número estimado de episódios de urgência
2026-09-15;ARS Algarve;Número estimado de episódios de urgência;947.0;episódio urgência;2026-09-15/ARS Algarve/Número estimado de episódios de urgência
2026-09-15;Portugal Continental;Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar);77.1394;minuto;2026-09-15/Portugal Continental/Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar)
2026-09-15;ARS Centro;Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar);82.9925;minuto;2026-09-15/ARS Centro/Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar)
2026-09-15;ARS Lisboa e Vale do Tejo;Taxa diária de atendimentos urgentes com prioridade verde ou azul;38.2772;epis. urg./100.000 resid.;2026-09-15/ARS Lisboa e Vale do Tejo/Taxa diária de episódios de urgência não urgentes (Manchester) por 100.000 residentes
2026-09-15;ARS Alentejo;Taxa diária de atendimentos urgentes com internamento;8.53659;%;2026-09-15/ARS Alentejo/Taxa diária de episódios de urgência com internamento (%)
2026-09-15;ARS Alentejo;Taxa diária de atendimentos urgentes com prioridade verde ou azul;44.875;epis. urg./100.000 resid.;2026-09-15/ARS Alentejo/Taxa diária de episódios de urgência não urgentes (Manchester) por 100.000 residentes
2026-09-15;ARS Centro;Taxa diária de atendimentos urgentes com prioridade verde ou azul;29.2926;epis. urg./100.000 resid.;2026-09-15/ARS Centro/Taxa diária de episódios de urgência não urgentes (Manchester) por 100.000 residentes
2026-09-15;ARS Lisboa e Vale do Tejo;Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar);97.7733;minuto;2026-09-15/ARS Lisboa e Vale do Tejo/Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar)
2026-09-15;ARS Lisboa e Vale do Tejo;Taxa diária de atendimentos urgentes com internamento;8.62895;%;2026-09-15/ARS Lisboa e Vale do Tejo/Taxa diária de episódios de urgência com internamento (%)
2026-09-15;Portugal Continental;Número estimado de episódios de urgência;16903.0;episódio urgência;2026-09-15/Portugal Continental/Número estimado de episódios de urgência
2026-09-14;ARS Norte;Taxa diária de atendimentos urgentes com internamento;8.62466;%;2026-09-14/ARS Norte/Taxa diária de episódios de urgência com internamento (%)
2026-09-14;Portugal Continental;Taxa diária de atendimentos urgentes com internamento;9.63652;%;2026-09-14/Portugal Continental/Taxa diária de episódios de urgência com internamento (%)
2026-09-14;ARS Centro;Número estimado de episódios de urgência;2878.0;episódio urgência;2026-09-14/ARS Centro/Número estimado de episódios de urgência
2026-09-14;ARS Lisboa e Vale do Tejo;Número estimado de episódios de urgência;5309.0;episódio urgência;2026-09-14/ARS Lisboa e Vale do Tejo/Número estimado de episódios de urgência
2026-09-14;ARS Norte;Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar);49.6839;minuto;2026-09-14/ARS Norte/Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar)
2026-09-14;ARS Norte;Taxa diária de atendimentos urgentes com prioridade verde ou azul;32.6779;epis. urg./100.000 resid.;2026-09-14/ARS Norte/Taxa diária de episódios de urgência não urgentes (Manchester) por 100.000 residentes
2026-09-14;ARS Centro;Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar);64.8954;minuto;2026-09-14/ARS Centro/Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar)
2026-09-14;ARS Algarve;Número estimado de episódios de urgência;958.0;episódio urgência;2026-09-14/ARS Algarve/Número estimado de episódios de urgência
2026-09-14;Portugal Continental;Taxa diária de atendimentos urgentes com prioridade verde ou azul;34.0236;epis. urg./100.000 resid.;2026-09-14/Portugal Continental/Taxa diária de episódios de urgência não urgentes (Manchester) por 100.000 residentes
2026-09-14;Portugal Continental;Número estimado de episódios de urgência;16521.0;episódio urgência;2026-09-14/Portugal Continental/Número estimado de episódios de urgência
2026-09-14;ARS Alentejo;Taxa diária de atendimentos urgentes com prioridade verde ou azul;43.2398;epis. urg./100.000 resid.;2026-09-14/ARS Alentejo/Taxa diária de episódios de urgência não urgentes (Manchester) por 100.000 residentes
2026-09-14;ARS Alentejo;Número estimado de episódios de urgência;1104.0;episódio urgência;2026-09-14/ARS Alentejo/Número estimado de episódios de urgência
2026-09-14;ARS Centro;Taxa diária de atendimentos urgentes com internamento;11.0283;%;2026-09-14/ARS Centro/Taxa diária de episódios de urgência com internamento (%)
2026-09-14;ARS Alentejo;Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar);46.8773;minuto;2026-09-14/ARS Alentejo/Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar)
2026-09-14;ARS Alentejo;Taxa diária de atendimentos urgentes com internamento;16.9492;%;2026-09-14/ARS Alentejo/Taxa diária de episódios de urgência com internamento (%)
2026-09-14;Portugal Continental;Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar);63.135;minuto;2026-09-14/Portugal Continental/Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar)
2026-09-14;ARS Lisboa e Vale do Tejo;Taxa diária de atendimentos urgentes com prioridade verde ou azul;38.2832;epis. urg./100.000 resid.;2026-09-14/ARS Lisboa e Vale do Tejo/Taxa diária de episódios de urgência não urgentes (Manchester) por 100.000 residentes
2026-09-14;ARS Lisboa e Vale do Tejo;Taxa diária de atendimentos urgentes com internamento;9.00704;%;2026-09-14/ARS Lisboa e Vale do Tejo/Taxa diária de episódios de urgência com internamento (%)
2026-09-14;ARS Norte;Número estimado de episódios de urgência;6272.0;episódio urgência;2026-09-14/ARS Norte/Número estimado de episódios de urgência
2026-09-14;ARS Centro;Taxa diária de atendimentos urgentes com prioridade verde ou azul;27.6362;epis. urg./100.000 resid.;2026-09-14/ARS Centro/Taxa diária de episódios de urgência não urgentes (Manchester) por 100.000 residentes
2026-09-14;ARS Lisboa e Vale do Tejo;Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar);84.7367;minuto;2026-09-14/ARS Lisboa e Vale do Tejo/Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar)
2026-09-13;ARS Lisboa e Vale do Tejo;Taxa diária de atendimentos urgentes com internamento;8.87045;%;2026-09-13/ARS Lisboa e Vale do Tejo/Taxa diária de episódios de urgência com internamento (%)
2026-09-13;ARS Lisboa e Vale do Tejo;Número estimado de episódios de urgência;4233.0;episódio urgência;2026-09-13/ARS Lisboa e Vale do Tejo/Número estimado de episódios de urgência
2026-09-13;Portugal Continental;Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar);69.4931;minuto;2026-09-13/Portugal Continental/Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar)
2026-09-13;Portugal Continental;Taxa diária de atendimentos urgentes com internamento;8.99654;%;2026-09-13/Portugal Continental/Taxa diária de episódios de urgência com internamento (%)
2026-09-13;ARS Norte;Taxa diária de atendimentos urgentes com internamento;8.37404;%;2026-09-13/ARS Norte/Taxa diária de episódios de urgência com internamento (%)
2026-09-13;ARS Centro;Taxa diária de atendimentos urgentes com prioridade verde ou azul;27.8975;epis. urg./100.000 resid.;2026-09-13/ARS Centro/Taxa diária de episódios de urgência não urgentes (Manchester) por 100.000 residentes
2026-09-13;ARS Centro;Número estimado de episódios de urgência;2459.0;episódio urgência;2026-09-13/ARS Centro/Número estimado de episódios de urgência
2026-09-13;ARS Lisboa e Vale do Tejo;Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar);122.799;minuto;2026-09-13/ARS Lisboa e Vale do Tejo/Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar)
2026-09-13;ARS Alentejo;Taxa diária de atendimentos urgentes com prioridade verde ou azul;44.4292;epis. urg./100.000 resid.;2026-09-13/ARS Alentejo/Taxa diária de episódios de urgência não urgentes (Manchester) por 100.000 residentes
2026-09-13;ARS Alentejo;Taxa diária de atendimentos urgentes com internamento;13.3945;%;2026-09-13/ARS Alentejo/Taxa diária de episódios de urgência com internamento (%)
2026-09-13;Portugal Continental;Taxa diária de atendimentos urgentes com prioridade verde ou azul;33.295;epis. urg./100.000 resid.;2026-09-13/Portugal Continental/Taxa diária de episódios de urgência não urgentes (Manchester) por 100.000 residentes
2026-09-13;ARS Centro;Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar);57.8464;minuto;2026-09-13/ARS Centro/Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar)
2026-09-13;ARS Alentejo;Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar);36.3223;minuto;2026-09-13/ARS Alentejo/Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar)
2026-09-13;Portugal Continental;Número estimado de episódios de urgência;13927.0;episódio urgência;2026-09-13/Portugal Continental/Número estimado de episódios de urgência
2026-09-13;ARS Norte;Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar);46.0066;minuto;2026-09-13/ARS Norte/Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar)
2026-09-13;ARS Centro;Taxa diária de atendimentos urgentes com internamento;9.31212;%;2026-09-13/ARS Centro/Taxa diária de episódios de urgência com internamento (%)
2026-09-13;ARS Lisboa e Vale do Tejo;Taxa diária de atendimentos urgentes com prioridade verde ou azul;36.3284;epis. urg./100.000 resid.;2026-09-13/ARS Lisboa e Vale do Tejo/Taxa diária de episódios de urgência não urgentes (Manchester) por 100.000 residentes
2026-09-13;ARS Alentejo;Número estimado de episódios de urgência;1048.0;episódio urgência;2026-09-13/ARS Alentejo/Número estimado de episódios de urgência
2026-09-13;ARS Algarve;Número estimado de episódios de urgência;895.0;episódio urgência;2026-09-13/ARS Algarve/Número estimado de episódios de urgência
